Professor,RelativeFilePath
Serena Formenti,F/Serena Formenti.csv
Jennifer Chan,C/Jennifer Chan.csv
Michael Barrie,B/Michael Barrie.csv
Jude Frie,F/Jude Frie.csv
Stephen Chatman,C/Stephen Chatman.csv
Thomas Garcin,G/Thomas Garcin.csv
P Ohler,O/P Ohler.csv
William T Ziemba,Z/William T Ziemba.csv
Fatemeh Eslami,E/Fatemeh Eslami.csv
JASMINA KARABEG,K/JASMINA KARABEG.csv
Shun Han Kevin Zhang,Z/Shun Han Kevin Zhang.csv
Xinyi Ye,Y/Xinyi Ye.csv
Pierre Kennepohl,K/Pierre Kennepohl.csv
Amanda Bamford,B/Amanda Bamford.csv
Christina Krause,K/Christina Krause.csv
Hamid Afshari,A/Hamid Afshari.csv
Rachel Kim,K/Rachel Kim.csv
Karol Traviss,T/Karol Traviss.csv
Mahmoud Sakr,S/Mahmoud Sakr.csv
Mike Murphy,M/Mike Murphy.csv
Kristina Declark,D/Kristina Declark.csv
Keltie Forsyth,F/Keltie Forsyth.csv
Louise Martinson,M/Louise Martinson.csv
Lien Khanh Hoa Tran,T/Lien Khanh Hoa Tran.csv
Samuel Shulman,S/Samuel Shulman.csv
Jason Gratl,G/Jason Gratl.csv
John O'Brien,O/John O'Brien.csv
Amir Karin,K/Amir Karin.csv
Katrina Poppe,P/Katrina Poppe.csv
Elizabeth Mahon,M/Elizabeth Mahon.csv
Yalda Safaei Boroojeny,B/Yalda Safaei Boroojeny.csv
Gemma Broadley,B/Gemma Broadley.csv
Jingxin Lei,L/Jingxin Lei.csv
Gaelle Simard-Duplain,S/Gaelle Simard-Duplain.csv
Robert De Wreede,W/Robert De Wreede.csv
Farbod Roosta-Khorasani,R/Farbod Roosta-Khorasani.csv
Edith Irene Fensom,F/Edith Irene Fensom.csv
Daniel Pauly,P/Daniel Pauly.csv
Darcy Samulak,S/Darcy Samulak.csv
Ranveer Sandhu,S/Ranveer Sandhu.csv
Kelly Struthers Montford,M/Kelly Struthers Montford.csv
Mary Kostandy,K/Mary Kostandy.csv
Paul Yoo,Y/Paul Yoo.csv
Michele Pye,P/Michele Pye.csv
James Mandigo,M/James Mandigo.csv
Ana Cecilia Leon Morales,M/Ana Cecilia Leon Morales.csv
Ali Roustaei,R/Ali Roustaei.csv
Anber Rana,R/Anber Rana.csv
Robert Straughan,S/Robert Straughan.csv
Rachel Crockett,C/Rachel Crockett.csv
PAUL EBERHARDT,E/PAUL EBERHARDT.csv
Richard Desjardins,D/Richard Desjardins.csv
Tim Straubinger,S/Tim Straubinger.csv
Erin Despard,D/Erin Despard.csv
Laura Millar,M/Laura Millar.csv
Mohammad Seraj,S/Mohammad Seraj.csv
Ahlem Bensari,B/Ahlem Bensari.csv
Parsa Bakhshandeh,B/Parsa Bakhshandeh.csv
Bernd Lucke,L/Bernd Lucke.csv
Michael Barrus,B/Michael Barrus.csv
Zhanyi Su,S/Zhanyi Su.csv
Umar Turaki,T/Umar Turaki.csv
Emilia Muirragui,M/Emilia Muirragui.csv
Michael Wufka,W/Michael Wufka.csv
Christopher Peck,P/Christopher Peck.csv
Susan Pirie,P/Susan Pirie.csv
Julia Casol,C/Julia Casol.csv
Jorge Lozano Rodriguez,R/Jorge Lozano Rodriguez.csv
Melanie Liu,L/Melanie Liu.csv
Teresa Yeung,Y/Teresa Yeung.csv
Julian Vahl,V/Julian Vahl.csv
Russell Gordon,G/Russell Gordon.csv
Shannon Grant Taylor,T/Shannon Grant Taylor.csv
YI DUO,D/YI DUO.csv
Emily Leischner,L/Emily Leischner.csv
Paramjeet Arora,A/Paramjeet Arora.csv
Yoshio Yanadori,Y/Yoshio Yanadori.csv
Daniel Louie,L/Daniel Louie.csv
Gabriel Francis,F/Gabriel Francis.csv
Hoi Kong,K/Hoi Kong.csv
Alina Cook,C/Alina Cook.csv
Mehwish Anwer,A/Mehwish Anwer.csv
Omar Kabbani,K/Omar Kabbani.csv
Deborah Campbell,C/Deborah Campbell.csv
Emily Love,L/Emily Love.csv
Graham William Butler,B/Graham William Butler.csv
Wai-Ching Alfred Kong,K/Wai-Ching Alfred Kong.csv
Jordan Babando,B/Jordan Babando.csv
Marisa Sanchez,S/Marisa Sanchez.csv
Maureen Ashe,A/Maureen Ashe.csv
Yoonji Shim,S/Yoonji Shim.csv
Christina Gyenge,G/Christina Gyenge.csv
Mohammad Jalalzai,J/Mohammad Jalalzai.csv
Benny Mak,M/Benny Mak.csv
Fred Bowers,B/Fred Bowers.csv
Giacomo Gallina,G/Giacomo Gallina.csv
Carl Ollivier-Gooch,O/Carl Ollivier-Gooch.csv
Stuart Lodge,L/Stuart Lodge.csv
Chanel Blouin,B/Chanel Blouin.csv
Elena Plotnikoff,P/Elena Plotnikoff.csv
Adrian Muir,M/Adrian Muir.csv
Kenya Gutteridge,G/Kenya Gutteridge.csv
Hendrik Van der Loos,L/Hendrik Van der Loos.csv
Samantha Li,L/Samantha Li.csv
Taslim Arefin Khan,K/Taslim Arefin Khan.csv
Francis Rossmann,R/Francis Rossmann.csv
Lissa Beauchamp,B/Lissa Beauchamp.csv
Erfan Bayat,B/Erfan Bayat.csv
Chelsea Lehner,L/Chelsea Lehner.csv
Irene Lynn Goldstone,G/Irene Lynn Goldstone.csv
Stanley Wolf Pokorny,P/Stanley Wolf Pokorny.csv
FUSHEINI HUDU,H/FUSHEINI HUDU.csv
Jessica Pow,P/Jessica Pow.csv
Joaquin Munoz,M/Joaquin Munoz.csv
Raelyn Sullivan,S/Raelyn Sullivan.csv
Ben Maclean Sand,S/Ben Maclean Sand.csv
Avery Beardmore,B/Avery Beardmore.csv
Rachel Horst,H/Rachel Horst.csv
Robert E Hancock,H/Robert E Hancock.csv
Brett Ford,F/Brett Ford.csv
Gregory Bryan,B/Gregory Bryan.csv
Mir Faizal,F/Mir Faizal.csv
Abhishek Agrawal,A/Abhishek Agrawal.csv
Nicholas Di Lello,L/Nicholas Di Lello.csv
Tracy Marshall,M/Tracy Marshall.csv
Seyed Morteza Mousavi,M/Seyed Morteza Mousavi.csv
Samuel Cohen,C/Samuel Cohen.csv
Ricky Tsang,T/Ricky Tsang.csv
Long Dinh,D/Long Dinh.csv
Jonathan Adams,A/Jonathan Adams.csv
Ahmed Tageldin,T/Ahmed Tageldin.csv
Ross Swanson,S/Ross Swanson.csv
Alexa Mcfadden,M/Alexa Mcfadden.csv
Eileen Hoeter,H/Eileen Hoeter.csv
Ruiqi Tan,T/Ruiqi Tan.csv
Kendra Todd,T/Kendra Todd.csv
Freya F. Sturm,S/Freya F. Sturm.csv
Sandra Mathison,M/Sandra Mathison.csv
SPENCER CHARLES HARRISO MCKAY,M/SPENCER CHARLES HARRISO MCKAY.csv
Leif Undseth,U/Leif Undseth.csv
Tin-Yung Niu,N/Tin-Yung Niu.csv
Jason Ford,F/Jason Ford.csv
Ifeoma Adaji,A/Ifeoma Adaji.csv
Wenjun Qi,Q/Wenjun Qi.csv
JOZSEF BUDAI,B/JOZSEF BUDAI.csv
Jess Brewer,B/Jess Brewer.csv
SAMANTHA SEMPER,S/SAMANTHA SEMPER.csv
Lindsay Botterill,B/Lindsay Botterill.csv
Edward Alexander,A/Edward Alexander.csv
Nathaniel Furey,F/Nathaniel Furey.csv
Jennifer Adkins,A/Jennifer Adkins.csv
Yann Cornil,C/Yann Cornil.csv
Emma Shi,S/Emma Shi.csv
Emily Fuchs,F/Emily Fuchs.csv
Margo Tamez,T/Margo Tamez.csv
Justin Barski,B/Justin Barski.csv
Molly Babel,B/Molly Babel.csv
Tazia Khushboo,K/Tazia Khushboo.csv
Elizabeth Keys,K/Elizabeth Keys.csv
Kathleen Hall,H/Kathleen Hall.csv
Ziqiang Hu,H/Ziqiang Hu.csv
Oladapo Akinsiku,A/Oladapo Akinsiku.csv
Zhiwei Peng,P/Zhiwei Peng.csv
William Dorfmann,D/William Dorfmann.csv
Peter Boychuk,B/Peter Boychuk.csv
Leigh Macfadyen,M/Leigh Macfadyen.csv
Yihong Ma,M/Yihong Ma.csv
Yu-Lin Yee,Y/Yu-Lin Yee.csv
Michael Sackville,S/Michael Sackville.csv
Jonathan MacDonald,M/Jonathan MacDonald.csv
John Friedmann,F/John Friedmann.csv
Aman Marwaha,M/Aman Marwaha.csv
Sharlie Eicker,E/Sharlie Eicker.csv
Setareh Kordmir,K/Setareh Kordmir.csv
Aleksander Sochan,S/Aleksander Sochan.csv
Patrick Ritchie,R/Patrick Ritchie.csv
Jacquie-Lee Thibault,T/Jacquie-Lee Thibault.csv
Louise Araujo,A/Louise Araujo.csv
Solveig van Wersch,W/Solveig van Wersch.csv
Mattie Chan,C/Mattie Chan.csv
Xing Tong,T/Xing Tong.csv
Pam Ponic,P/Pam Ponic.csv
Eva Corlett,C/Eva Corlett.csv
William Lu,L/William Lu.csv
Vicki Tse,T/Vicki Tse.csv
Ronald Giesbrecht,G/Ronald Giesbrecht.csv
Rudransh Kumar,K/Rudransh Kumar.csv
Mariposa Casida,C/Mariposa Casida.csv
Adam Silvester,S/Adam Silvester.csv
Rui Yang,Y/Rui Yang.csv
Elizabeth Cox,C/Elizabeth Cox.csv
Eric Zvaniga,Z/Eric Zvaniga.csv
Jonathan Wynne Peyton,P/Jonathan Wynne Peyton.csv
Amber Upfold,U/Amber Upfold.csv
Daniel Holanda Noronha,N/Daniel Holanda Noronha.csv
Blair Hardman,H/Blair Hardman.csv
Xueying Yin,Y/Xueying Yin.csv
Chun Yi Lin,L/Chun Yi Lin.csv
David King,K/David King.csv
Johannes Holert,H/Johannes Holert.csv
Jenna D'Adduzio,D/Jenna D'Adduzio.csv
Elvin Wyly,W/Elvin Wyly.csv
BRIAN LAMB,L/BRIAN LAMB.csv
Shahriar Rouhani Anaraki,A/Shahriar Rouhani Anaraki.csv
Yuveshen Mooroogen,M/Yuveshen Mooroogen.csv
Amanda Michelle Jones,J/Amanda Michelle Jones.csv
Gayla Swihart,S/Gayla Swihart.csv
Molly Cross-Blanchard,C/Molly Cross-Blanchard.csv
Phillip William Round,R/Phillip William Round.csv
Rebecca Pouliot,P/Rebecca Pouliot.csv
Matthew Winship,W/Matthew Winship.csv
Kevin Kaiser,K/Kevin Kaiser.csv
Cris Inguanti,I/Cris Inguanti.csv
Chenlu Han,H/Chenlu Han.csv
Christina S Treleaven,T/Christina S Treleaven.csv
Nikhita Obeegadoo,O/Nikhita Obeegadoo.csv
Laura Servage,S/Laura Servage.csv
Francisco Paz,P/Francisco Paz.csv
William Cheyne,C/William Cheyne.csv
Anna Tikina,T/Anna Tikina.csv
Sheila Zerr,Z/Sheila Zerr.csv
Tara Carpenter,C/Tara Carpenter.csv
Lindsay Rogers (Brown),(/Lindsay Rogers (Brown).csv
DEIDRE L. BRINK,B/DEIDRE L. BRINK.csv
Jeremy Schipper,S/Jeremy Schipper.csv
Bruce Seney,S/Bruce Seney.csv
OLIVER HULME,H/OLIVER HULME.csv
Ahmed Mostafa,M/Ahmed Mostafa.csv
Graham Alexander Lynn,L/Graham Alexander Lynn.csv
Margaret Cliff,C/Margaret Cliff.csv
